汇通	Huitong 	GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing						WS10043190002	汇通国银一期		0	002202	汇通车分期-非LCV二手车	Huitong-Non-LCV Secondhand		汇通车分期-非LCV二手车	Huitong-Non-LCV Secondhand
汇通	Huitong 	GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing						WS10043190002	汇通国银一期		0	002203	汇通车分期-LCV新车	Huitong-LCV New Car		汇通车分期-LCV新车	Huitong-LCV New Car
													J75500	盒子科技商户贷		0						
天津恒通-理财通-车抵贷-2017年第2期		LCT01	理财通		abs0001	天津恒通					cl00185	天津恒通-理财通-车抵贷-2017年第2期				0	cl00185	天津恒通-理财通-车抵贷-2017年第2期				
天津恒通-理财通-车抵贷-2018年第4期		LCT01	理财通		abs0001	天津恒通					cl00186	天津恒通-理财通-车抵贷-2018年第4期				0	cl00186	天津恒通-理财通-车抵贷-2018年第4期				
天津恒通-理财通-车抵贷-2017年第1期		LCT01	理财通		abs0001	天津恒通					cl00187	天津恒通-理财通-车抵贷-2017年第1期				0	cl00187	天津恒通-理财通-车抵贷-2017年第1期				
天津恒通-理财通-车抵贷-2018年第5期		LCT01	理财通		abs0001	天津恒通					cl00199	天津恒通-理财通-车抵贷-2018年第5期				0	cl00199	天津恒通-理财通-车抵贷-2018年第5期				
天津恒通-理财通-车抵贷-2018年第6期		LCT01	理财通		abs0001	天津恒通					cl00217	天津恒通-理财通-车抵贷-2018年第6期				0	cl00217	天津恒通-理财通-车抵贷-2018年第6期				
天津恒通-理财通-车抵贷-2018年第7期		LCT01	理财通		abs0001	天津恒通					cl00229	天津恒通-理财通-车抵贷-2018年第7期				0	cl00229	天津恒通-理财通-车抵贷-2018年第7期				
先锋太盟1期资产包1		XFX01	新分享		abs0002	先锋太盟					cl00232	先锋太盟1期资产包1	cl00232	先锋太盟1期		0	cl00232	先锋太盟1期资产包1				
先锋太盟1期资产包2		XFX01	新分享		abs0002	先锋太盟					cl00233	先锋太盟1期资产包2	cl00233	先锋太盟2期		0	cl00233	先锋太盟1期资产包2				
天津恒通-理财通-车抵贷-2018年第8期		LCT01	理财通		abs0001	天津恒通					cl00243	天津恒通-理财通-车抵贷-2018年第8期				0	cl00243	天津恒通-理财通-车抵贷-2018年第8期				
天津恒通-机构私募-车抵贷-2019年第1期		JGSM01	机构私募		abs0001	天津恒通					cl00265	天津恒通-机构私募-车抵贷-2019年第1期				0	cl00265	天津恒通-机构私募-车抵贷-2019年第1期				
